4 4
17 153 2
205 294 2
50 249 2
7 291 2
270 136 2
166 232 2
288 254 2
147 133 2
78 156 2
84 30 2
230 232 2
124 216 2
209 232 2
269 217 2
68 155 2
247 294 2
185 116 2
14 200 2
47 252 2
227 72 2
147 149 2
241 169 2
6 63 2
55 159 2
241 278 2
112 17 2
279 39 2
165 155 2
297 265 2
144 120 2
227 2 2
288 203 2
128 296 2
143 169 2
65 161 2
182 103 2
277 141 2
17 296 2
288 130 2
193 232 2
52 228 2
231 94 2
179 13 2
276 75 2
95 281 2
159 232 2
156 281 2
152 8 2
243 282 2
291 133 2
110 63 2
75 290 2
175 128 2
44 252 2
233 173 2
89 120 2
292 54 2
40 69 2
247 13 2
89 267 2
81 78 2
56 71 2
169 74 2
289 157 2
59 226 2
291 250 2
151 86 2
214 113 2
196 232 2
147 48 2
186 131 2
203 249 2
69 66 2
198 270 2
255 69 2
200 11 2
82 249 2
196 33 2
147 255 2
229 33 2
175 237 2
166 14 2
86 237 2
4 48 2
210 16 2
186 22 2
199 263 2
19 178 2
284 66 2
194 218 2
191 31 2
20 174 2
156 31 2
62 114 2
286 29 2
107 14 2
215 92 2
51 212 2
118 271 2
154 29 2
250 128 2
150 163 2
226 167 2
241 187 2
144 152 2
115 168 2
201 232 2
210 192 2
76 73 2
245 207 2
6 125 2
138 226 2
21 88 2
276 115 2
229 133 2
224 287 2
24 58 2
30 179 2
84 265 2
243 52 2
49 160 2
275 115 2
198 199 2
115 266 2
147 137 2
275 75 2
52 118 2
150 73 2
144 251 2
206 32 2
40 43 2
264 55 2
146 140 2
86 74 2
7 236 2
174 173 2
80 276 2
242 255 2
27 36 2
161 108 2
226 73 2
136 117 2
82 50 2
26 1 2
107 203 2
222 90 2
242 26 2
150 181 2
261 73 2
246 260 2
96 73 2
169 54 2
247 279 2
271 83 2
210 262 2
243 16 2
215 192 2
10 22 2
122 131 2
129 11 2
190 255 2
210 232 2
93 274 2
112 284 2
60 252 2
115 233 2
61 191 2
222 131 2
121 191 2
299 285 2
64 203 2
53 283 2
38 98 2
195 189 2
37 104 2
198 72 2
7 190 2
246 173 2
116 157 2
254 225 2
47 131 2
146 148 2
113 284 2
172 77 2
142 143 2
170 44 2
176 155 2
71 34 2
225 272 2
221 109 2
79 145 2
125 27 2
146 203 2
180 141 2
16 249 2
24 104 2
49 135 2
221 41 2
153 22 2
222 41 2
8 23 2
292 290 2
124 268 2
20 265 2
60 91 2
198 277 2
106 116 2
18 285 2
206 268 2
195 98 2
18 160 2
264 66 2
242 4 2
177 283 2
172 180 2
240 157 2
143 126 2
264 103 2
80 198 2
214 164 2
138 174 2
197 225 2
46 227 2
85 133 2
168 140 2
297 37 2
96 234 2
96 146 2
259 178 2
112 183 2
64 120 2
254 163 2
6 104 2
44 253 2
241 234 2
120 162 2
277 63 2
37 293 2
46 13 2
116 77 2
136 33 2
276 129 2
231 239 2
88 282 2
141 108 2
220 261 2
229 223 2
100 155 2
113 273 2
16 287 2
235 101 2
18 269 2
79 268 2
165 126 2
143 271 2
72 156 2
215 26 2
223 181 2
165 57 2
1 189 2
255 121 2
94 169 2
93 37 2
262 42 2
102 162 2
169 66 2
167 180 2
67 46 2
153 28 2
298 14 2
60 53 2
196 36 2
91 130 2
241 221 2
31 256 2
259 87 2
55 282 2
294 123 2
87 54 2
222 218 2
38 150 2
264 296 2
264 109 2
206 88 2
87 239 2
79 234 2
270 153 2
36 82 2
93 259 2
206 127 2
154 122 2
196 116 2
77 142 2
38 266 2
23 178 2
144 102 2
192 79 2
190 68 2
172 155 2
151 120 2
214 92 2
117 262 2
286 135 2
30 1 2
6 29 2
174 143 2
111 63 2
27 90 2
67 91 2
52 238 2
290 239 2
217 155 2
46 158 2
69 88 2
241 42 2
221 289 2
137 259 2
145 39 2
295 87 2
129 218 2
164 31 2
276 214 2
267 228 2
126 216 2
208 99 2
9 273 2
224 293 2
16 257 2
225 36 2
195 93 2
147 53 2
25 290 2
119 136 2
78 27 2
198 86 2
5 9 2
60 25 2
93 178 2
126 39 2
130 238 2
152 27 2
18 168 2
68 232 2
79 92 2
241 294 2
44 169 2
185 133 2
117 123 2
59 95 2
174 172 2
292 8 2
79 221 2
40 219 2
279 53 2
59 278 2
230 100 2
40 114 2
201 62 2
266 178 2
255 143 2
52 110 2
138 49 2
271 212 2
199 281 2
10 35 2
32 75 2
100 179 2
119 142 2
77 82 2
190 35 2
57 239 2
126 50 2
209 203 2
164 15 2
198 228 2
69 248 2
137 156 2
247 120 2
295 185 2
9 50 2
192 96 2
65 175 2
177 244 2
300 32 2
178 45 2
147 254 2
44 37 2
15 258 2
86 68 2
65 76 2
292 253 2
117 290 2
89 45 2
300 130 2
291 141 2
37 289 2
97 8 2
17 213 2
288 199 2
113 216 2
182 95 2
17 128 2
244 290 2
137 33 2
152 237 2
138 149 2
214 237 2
49 176 2
269 167 2
222 169 2
265 118 2
206 242 2
26 121 2
105 75 2
166 34 2
244 157 2
8 193 2
224 157 2
179 162 2
7 65 2
192 110 2
264 122 2
59 30 2
147 213 2
217 142 2
56 189 2
78 57 2
265 157 2
102 245 2
105 263 2
130 50 2
300 242 2
186 68 2
85 200 2
52 25 2
80 15 2
136 229 2
144 296 2
60 69 2
253 73 2
182 179 2
152 274 2
59 212 2
40 113 2
62 296 2
46 130 2
152 203 2
219 113 2
163 256 2
48 274 2
285 143 2
120 296 2
194 245 2
49 232 2
62 57 2
289 178 2
8 35 2
190 226 2
184 252 2
129 121 2
40 16 2
180 248 2
7 183 2
154 207 2
85 23 2
221 31 2
97 93 2
111 250 2
230 156 2
172 123 2
139 55 2
46 214 2
266 77 2
94 27 2
299 113 2
272 236 2
116 133 2
127 263 2
100 148 2
217 290 2
4 214 2
20 15 2
195 170 2
28 214 2
150 70 2
151 175 2
95 73 2
80 77 2
276 103 2
38 274 2
127 95 2
145 274 2
277 203 2
169 22 2
40 268 2
179 189 2
6 284 2
144 247 2
6 254 2
274 268 2
167 169 2
97 258 2
61 140 2
86 238 2
152 116 2
107 205 2
89 239 2
14 209 2
215 22 2
14 163 2
245 183 2
193 157 2
10 66 2
201 252 2
199 101 2
38 41 2
297 294 2
26 158 2
129 100 2
91 89 2
197 87 2
205 139 2
138 287 2
269 48 2
184 204 2
223 262 2
21 41 2
222 97 2
300 4 2
294 88 2
270 244 2
59 16 2
141 256 2
92 22 2
295 15 2
40 261 2
102 76 2
208 244 2
166 272 2
118 98 2
89 90 2
270 122 2
240 214 2
34 83 2
270 55 2
236 74 2
150 214 2
131 244 2
195 55 2
33 236 2
176 104 2
8 74 2
46 109 2
153 13 2
105 296 2
59 22 2
9 234 2
120 58 2
214 272 2
235 248 2
93 213 2
175 280 2
191 293 2
253 218 2
76 277 2
165 217 2
44 237 2
59 104 2
185 253 2
203 73 2
199 39 2
52 200 2
48 45 2
299 218 2
95 135 2
291 50 2
184 121 2
198 280 2
130 268 2
269 274 2
177 68 2
192 205 2
164 68 2
55 19 2
223 174 2
231 51 2
150 153 2
192 3 2
179 204 2
294 212 2
269 32 2
201 8 2
112 32 2
77 75 2
243 36 2
231 9 2
127 63 2
197 173 2
197 254 2
81 193 2
286 114 2
60 1 2
43 202 2
274 148 2
71 193 2
298 88 2
94 209 2
18 88 2
52 108 2
49 271 2
18 12 2
222 244 2
17 155 2
67 74 2
285 294 2
80 273 2
27 293 2
27 188 2
102 274 2
222 299 2
299 259 2
146 53 2
64 294 2
145 176 2
258 268 2
240 269 2
119 41 2
108 173 2
59 165 2
112 98 2
86 58 2
259 77 2
160 293 2
162 68 2
264 223 2
210 227 2
23 296 2
96 166 2
97 30 2
84 104 2
154 49 2
115 158 2
242 1 2
185 120 2
28 164 2
200 193 2
65 234 2
126 58 2
223 293 2
198 297 2
46 101 2
21 199 2
241 205 2
205 57 2
210 19 2
209 158 2
202 66 2
214 239 2
64 70 2
210 34 2
29 191 2
226 131 2
292 21 2
190 246 2
243 248 2
198 67 2
65 101 2
129 41 2
168 236 2
150 174 2
91 75 2
270 51 2
204 173 2
299 275 2
83 22 2
184 145 2
247 220 2
183 216 2
266 27 2
46 272 2
152 167 2
119 244 2
195 117 2
240 168 2
158 133 2
257 39 2
27 135 2
241 214 2
195 3 2
299 184 2
98 296 2
265 251 2
78 149 2
46 92 2
291 267 2
93 130 2
101 239 2
210 76 2
59 24 2
87 45 2
26 157 2
227 290 2
198 148 2
78 239 2
215 118 2
43 251 2
214 121 2
197 160 2
38 6 2
285 236 2
229 284 2
95 62 2
242 155 2
60 183 2
194 21 2
231 159 2
17 109 2
276 268 2
229 75 2
66 45 2
127 142 2
244 287 2
60 157 2
177 57 2
182 143 2
17 300 2
15 293 2
165 31 2
234 90 2
7 182 2
49 289 2
13 54 2
210 191 2
273 82 2
8 22 2
168 121 2
300 266 2
156 157 2
11 258 2
146 98 2
120 15 2
65 164 2
201 123 2
119 72 2
299 268 2
38 194 2
40 121 2
208 249 2
240 226 2
84 94 2
174 1 2
295 66 2
93 134 2
82 83 2
6 45 2
159 66 2
30 253 2
97 69 2
57 123 2
185 100 2
203 181 2
202 36 2
298 280 2
243 193 2
176 257 2
192 285 2
67 231 2
183 45 2
265 37 2
269 256 2
51 15 2
65 220 2
80 298 2
100 181 2
136 9 2
106 295 2
255 34 2
189 244 2
253 11 2
152 234 2
106 205 2
223 77 2
15 99 2
184 44 2
119 122 2
206 44 2
187 58 2
270 88 2
65 163 2
59 48 2
275 132 2
12 142 2
69 121 2
38 144 2
231 238 2
4 171 2
297 165 2
261 42 2
240 20 2
5 156 2
198 158 2
93 281 2
173 239 2
198 203 2
132 99 2
277 2 2
205 173 2
189 252 2
187 271 2
7 50 2
53 140 2
242 174 2
62 33 2
34 193 2
226 62 2
154 145 2
56 164 2
12 53 2
179 70 2
106 60 2
111 143 2
153 30 2
62 262 2
67 205 2
56 118 2
153 63 2
84 140 2
17 43 2
77 260 2
127 161 2
112 40 2
21 9 2
38 79 2
130 37 2
245 273 2
108 2 2
97 145 2
206 40 2
143 82 2
265 202 2
56 178 2
233 280 2
234 126 2
62 103 2
163 50 2
81 4 2
233 246 2
208 266 2
170 293 2
261 287 2
26 89 2
298 288 2
143 35 2
64 224 2
197 39 2
71 121 2
197 77 2
275 76 2
154 165 2
143 261 2
91 74 2
221 249 2
221 24 2
206 129 2
155 280 2
1 179 2
32 254 2
32 204 2
170 89 2
234 232 2
48 42 2
266 146 2
25 82 2
192 34 2
160 146 2
246 257 2
168 207 2
19 27 2
14 199 2
284 293 2
105 262 2
61 19 2
44 175 2
184 182 2
112 249 2
58 53 2
152 55 2
212 114 2
187 14 2
122 282 2
34 200 2
184 70 2
200 83 2
182 121 2
78 87 2
253 258 2
144 96 2
233 267 2
231 88 2
264 9 2
153 214 2
125 236 2
221 68 2
269 90 2
243 158 2
232 123 2
99 123 2
240 252 2
162 157 2
300 91 2
69 181 2
250 149 2
233 234 2
285 258 2
217 218 2
276 163 2
195 206 2
61 118 2
124 3 2
249 123 2
135 22 2
32 11 2
102 72 2
136 93 2
48 203 2
241 83 2
237 296 2
26 48 2
166 134 2
177 116 2
43 115 2
299 132 2
231 164 2
150 228 2
129 207 2
25 293 2
80 153 2
119 13 2
24 213 2
60 262 2
132 228 2
141 130 2
80 221 2
269 224 2
196 136 2
137 1 2
247 257 2
166 58 2
300 57 2
202 267 2
175 54 2
80 260 2
122 168 2
84 243 2
29 10 2
204 159 2
117 203 2
6 228 2
65 200 2
161 278 2
170 163 2
26 53 2
50 289 2
262 13 2
129 23 2
20 72 2
149 50 2
275 23 2
297 166 2
177 129 2
122 82 2
166 213 2
178 239 2
240 220 2
257 280 2
230 109 2
84 121 2
97 251 2
33 108 2
129 128 2
259 146 2
131 83 2
227 171 2
222 141 2
247 176 2
227 90 2
276 31 2
113 189 2
138 89 2
167 107 2
225 157 2
144 239 2
6 163 2
9 108 2
211 156 2
151 205 2
194 118 2
266 30 2
112 243 2
286 247 2
168 200 2
81 69 2
91 66 2
219 199 2
113 173 2
96 209 2
119 193 2
267 25 2
118 45 2
185 98 2
177 137 2
118 232 2
27 156 2
265 182 2
48 238 2
40 281 2
179 271 2
142 13 2
115 278 2
279 239 2
194 49 2
245 98 2
141 281 2
286 271 2
129 64 2
273 279 2
194 33 2
34 142 2
187 183 2
26 24 2
65 1 2
243 269 2
59 81 2
178 293 2
170 142 2
286 244 2
196 58 2
184 115 2
223 155 2
259 180 2
88 296 2
240 100 2
55 158 2
112 124 2
131 188 2
276 12 2
141 158 2
262 25 2
95 98 2
128 101 2
100 268 2
246 73 2
48 225 2
230 99 2
183 15 2
203 213 2
125 117 2
93 27 2
105 110 2
261 37 2
152 113 2
69 237 2
230 16 2
230 29 2
242 57 2
272 249 2
12 128 2
139 51 2
226 260 2
170 190 2
97 6 2
292 20 2
277 10 2
187 135 2
125 103 2
43 233 2
141 159 2
240 213 2
55 37 2
139 175 2
26 148 2
43 259 2
240 204 2
56 117 2
215 289 2
198 278 2
205 83 2
106 142 2
38 64 2
125 4 2
9 98 2
299 293 2
40 62 2
168 41 2
81 217 2
288 57 2
170 277 2
191 133 2
81 18 2
43 44 2
93 272 2
59 93 2
65 204 2
150 140 2
85 75 2
150 103 2
18 276 2
28 140 2
198 234 2
80 13 2
17 278 2
198 146 2
47 124 2
109 207 2
186 25 2
275 19 2
295 183 2
46 50 2
247 62 2
19 121 2
156 293 2
46 39 2
43 200 2
106 72 2
7 105 2
237 148 2
4 282 2
4 113 2
2 31 2
127 211 2
166 281 2
43 21 2
67 47 2
252 232 2
84 98 2
242 70 2
60 116 2
153 257 2
117 181 2
139 234 2
192 23 2
245 27 2
264 148 2
276 16 2
57 51 2
16 92 2
110 133 2
10 70 2
62 245 2
7 137 2
103 239 2
231 23 2
17 70 2
110 236 2
113 237 2
68 213 2
144 262 2
29 188 2
237 83 2
90 290 2
136 53 2
19 293 2
64 202 2
294 178 2
195 265 2
182 274 2
52 221 2
241 224 2
48 73 2
225 45 2
55 160 2
35 228 2
9 74 2
20 27 2
100 34 2
270 213 2
223 235 2
115 50 2
96 53 2
135 126 2
32 29 2
225 191 2
32 236 2
32 220 2
198 122 2
219 71 2
92 244 2
100 217 2
129 252 2
19 108 2
52 249 2
247 115 2
116 189 2
88 248 2
41 274 2
56 32 2
51 13 2
68 235 2
236 66 2
215 40 2
195 57 2
129 116 2
221 113 2
82 248 2
197 280 2
130 108 2
51 253 2
154 72 2
43 159 2
291 24 2
124 160 2
297 83 2
243 44 2
126 212 2
125 228 2
297 78 2
105 142 2
30 31 2
77 258 2
144 118 2
105 258 2
144 225 2
265 41 2
145 65 2
95 23 2
297 60 2
275 130 2
28 135 2
85 56 2
172 141 2
109 63 2
288 149 2
219 244 2
179 72 2
297 258 2
217 289 2
222 250 2
299 9 2
111 174 2
270 60 2
206 86 2
215 154 2
96 262 2
300 168 2
18 148 2
217 239 2
242 115 2
269 135 2
132 75 2
255 29 2
116 126 2
84 58 2
81 50 2
141 39 2
81 255 2
219 245 2
129 76 2
76 42 2
298 131 2
126 263 2
120 169 2
227 10 2
172 209 2
81 57 2
65 107 2
146 99 2
172 42 2
17 62 2
265 172 2
184 213 2
20 109 2
86 53 2
16 168 2
285 140 2
253 133 2
80 149 2
87 256 2
131 2 2
288 39 2
78 14 2
97 88 2
87 68 2
295 212 2
115 237 2
108 82 2
112 172 2
195 20 2
292 249 2
280 74 2
140 114 2
223 22 2
295 204 2
215 113 2
21 132 2
128 283 2
210 49 2
254 131 2
80 167 2
172 271 2
43 211 2
38 148 2
40 4 2
142 148 2
122 193 2
10 216 2
168 267 2
46 172 2
32 164 2
199 280 2
270 76 2
80 141 2
138 34 2
208 227 2
87 104 2
210 30 2
147 79 2
79 197 2
139 254 2
118 41 2
51 249 2
41 203 2
240 14 2
253 204 2
26 185 2
286 42 2
11 114 2
217 238 2
110 219 2
143 74 2
220 248 2
52 174 2
5 235 2
300 160 2
11 103 2
129 87 2
64 39 2
70 159 2
44 68 2
94 171 2
287 173 2
185 275 2
292 257 2
240 99 2
47 227 2
102 197 2
173 228 2
248 282 2
97 297 2
276 122 2
229 83 2
97 160 2
240 259 2
139 143 2
144 113 2
240 159 2
97 250 2
197 23 2
42 278 2
297 180 2
144 53 2
184 103 2
189 193 2
192 37 2
291 15 2
168 187 2
241 176 2
126 66 2
20 238 2
79 169 2
89 218 2
209 248 2
201 159 2
65 142 2
231 122 2
145 227 2
196 99 2
242 262 2
56 213 2
281 287 2
55 75 2
136 262 2
88 135 2
111 132 2
150 295 2
144 249 2
292 65 2
5 10 2
240 46 2
89 99 2
122 126 2
60 257 2
299 151 2
115 114 2
96 43 2
25 280 2
298 228 2
285 268 2
62 288 2
97 123 2
265 133 2
107 122 2
13 104 2
180 133 2
100 62 2
30 272 2
65 211 2
197 193 2
174 171 2
241 78 2
127 122 2
189 178 2
223 30 2
92 36 2
262 232 2
55 271 2
286 175 2
286 298 2
102 90 2
205 189 2
145 94 2
210 252 2
80 156 2
262 278 2
175 130 2
220 279 2
122 90 2
85 226 2
61 117 2
211 42 2
34 289 2
122 204 2
151 155 2
292 182 2
117 205 2
20 158 2
167 157 2
28 14 2
55 175 2
185 1 2
185 82 2
40 85 2
136 208 2
112 296 2
40 51 2
81 31 2
96 118 2
291 245 2
186 202 2
282 228 2
152 219 2
272 70 2
146 234 2
115 53 2
286 164 2
44 167 2
163 278 2
168 104 2
219 178 2
164 209 2
165 225 2
256 22 2
91 197 2
2 268 2
299 159 2
65 188 2
258 35 2
197 6 2
20 86 2
7 145 2
21 239 2
25 53 2
269 130 2
5 69 2
92 239 2
60 37 2
47 117 2
73 251 2
102 65 2
115 63 2
275 189 2
177 4 2
46 207 2
150 11 2
295 249 2
75 108 2
272 37 2
38 4 2
145 220 2
186 83 2
184 1 2
49 50 2
27 271 2
151 161 2
146 238 2
85 227 2
40 191 2
171 123 2
91 30 2
243 108 2
265 183 2
38 229 2
161 285 2
154 246 2
298 47 2
17 101 2
136 255 2
300 162 2
29 34 2
266 278 2
281 53 2
20 60 2
79 128 2
92 277 2
192 90 2
42 256 2
119 48 2
121 193 2
23 90 2
165 16 2
201 86 2
194 114 2
105 31 2
119 261 2
61 51 2
163 3 2
80 236 2
115 116 2
73 280 2
61 153 2
144 183 2
38 181 2
139 263 2
194 282 2
113 146 2
194 176 2
175 131 2
126 274 2
152 93 2
19 225 2
52 57 2
211 50 2
59 262 2
64 173 2
255 223 2
286 146 2
145 182 2
105 69 2
182 24 2
283 178 2
276 171 2
23 272 2
10 282 2
27 104 2
215 207 2
242 191 2
116 156 2
152 263 2
242 34 2
285 271 2
107 283 2
81 28 2
155 236 2
85 180 2
151 214 2
170 292 2
117 223 2
112 132 2
145 156 2
273 289 2
150 294 2
115 31 2
84 277 2
136 271 2
255 208 2
23 239 2
67 185 2
154 11 2
166 33 2
125 167 2
287 213 2
21 36 2
285 76 2
47 78 2
91 174 2
139 148 2
125 211 2
112 165 2
237 290 2
92 35 2
100 146 2
125 172 2
252 209 2
54 278 2
147 199 2
59 246 2
227 296 2
182 285 2
196 183 2
29 83 2
65 171 2
151 207 2
174 108 2
276 250 2
300 272 2
7 191 2
216 272 2
205 218 2
277 191 2
154 202 2
190 82 2
215 111 2
140 249 2
56 11 2
209 256 2
44 75 2
254 181 2
7 277 2
13 204 2
81 278 2
119 266 2
66 249 2
185 14 2
77 54 2
81 143 2
291 143 2
245 191 2
204 155 2
127 272 2
291 179 2
63 169 2
252 162 2
240 115 2
81 94 2
214 191 2
105 205 2
195 263 2
38 208 2
16 254 2
48 33 2
243 231 2
220 256 2
195 145 2
76 53 2
76 191 2
215 60 2
277 171 2
107 183 2
59 160 2
265 91 2
230 178 2
198 128 2
131 282 2
208 70 2
214 54 2
138 196 2
195 92 2
106 233 2
246 22 2
167 284 2
29 35 2
175 209 2
222 37 2
47 157 2
166 176 2
150 213 2
14 203 2
300 69 2
245 2 2
117 130 2
33 199 2
219 162 2
168 179 2
229 197 2
236 90 2
21 29 2
18 204 2
29 263 2
146 279 2
152 48 2
19 249 2
20 159 2
94 69 2
84 36 2
180 53 2
60 179 2
236 278 2
96 121 2
241 218 2
7 202 2
127 88 2
109 62 2
110 37 2
285 187 2
264 76 2
37 98 2
91 149 2
19 209 2
76 168 2
291 290 2
276 149 2
104 238 2
206 274 2
177 248 2
38 211 2
147 90 2
158 45 2
250 176 2
293 218 2
79 183 2
246 158 2
110 204 2
208 104 2
37 282 2
12 163 2
13 193 2
256 123 2
172 88 2
55 193 2
59 267 2
260 278 2
186 219 2
226 287 2
43 65 2
20 99 2
1 101 2
32 239 2
115 87 2
144 274 2
106 43 2
30 146 2
127 285 2
142 36 2
177 39 2
240 162 2
96 129 2
254 239 2
295 178 2
205 34 2
270 277 2
187 74 2
158 244 2
94 274 2
191 74 2
163 287 2
80 85 2
229 44 2
177 98 2
286 50 2
17 99 2
142 274 2
92 41 2
69 14 2
129 25 2
5 203 2
6 238 2
147 98 2
201 193 2
241 252 2
41 253 2
58 281 2
194 28 2
79 186 2
187 53 2
20 262 2
4 236 2
186 10 2
116 23 2
106 8 2
300 224 2
71 272 2
153 203 2
264 70 2
299 290 2
30 204 2
202 35 2
7 196 2
195 247 2
267 35 2
275 296 2
233 166 2
200 237 2
283 98 2
26 181 2
182 122 2
166 2 2
170 1 2
254 260 2
170 196 2
